ID, Max openSet Size, A* Steps, Normalised Distance
0, 16, 2047, 9.65525819079344
110, 16, 3185, 10.930002420896908
140, 16, 573, 5.035609287471032
160, 16, 1335, 9.128393093109283
190, 16, 2193, 11.084071976072202
