ID, Max openSet Size, A* Steps, Normalised Distance
0, 128, 5669, 8.127226880050971
110, 128, 10317, 10.053293701010267
140, 89, 857, 4.979582014351222
160, 128, 4951, 6.867200344233677
190, 128, 15146, 11.788443457750345
