ID, Max openSet Size, A* Steps, Normalised Distance
0, 258, 6541, 8.127226880050971
110, 512, 11305, 9.613748377042677
140, 89, 857, 4.979582014351222
160, 233, 5453, 6.867200344233677
190, 512, 15362, 10.93197952171662
